# source_sha256=2a9ffd46b0e4ff3c87b3403ecb299a812653df1064246c63d78dd64d6685df80
id	original	korean
I000	|cFF7DBEF1黑科弹|r	|cFF7DBEF1블랙테크 탄환|r
I003	|cFF7DBEF1伯奈利军弹|r	|cFF7DBEF1베넬리 군용탄|r
I006	|cFFFF0000鲜血模组|r	|cFFFF0000선혈 모듈|r
I007	|cFF1FBF00补给箱|r	|cFF1FBF00보급 상자|r
I008	|cFF3366FF军火箱|r	|cFF3366FF군수품 상자|r
I009	手榴弹	수류탄
I00A	|cFFFF6600小刀|r	|cFFFF6600단검|r
I00B	|cFF3399FF风暴模组|r	|cFF3399FF폭풍 모듈|r
I00C	医疗包	의료 가방
I00D	|cFFFF6600铁剑|r	|cFFFF6600철검|r
I00E	|cFF7DBEF1黑科弹-II|r	|cFF7DBEF1블랙테크 탄환-II|r
I00F	|cFFFF3333战争模组|r	|cFFFF3333전쟁 모듈|r
I00G	|cFF0041FF冰霜模组|r	|cFF0041FF서리 모듈|r
I00H	|cFFFF6600hanbi快乐斧|r	|cFFFF6600hanbi의 즐거운 도끼|r
I00I	|cFF1FBF00腐蚀模组|r	|cFF1FBF00부식 모듈|r
I00J	|cFF7DBEF1净化药剂|r	|cFF7DBEF1정화 약물|r
I00L	止痛药	진통제
I00M	|cFFFF6600武士刀|r	|cFFFF6600일본도|r
I00N	燃烧瓶	화염병
I00O	|cFFFF6600撬棍|r	|cFFFF6600쇠지렛대|r
I00T	|cFF7DBEF1瓦尔特弹|r	|cFF7DBEF1발터 탄환|r
I00X	|cFFCC66FF次元匣|r	|cFFCC66FF차원 상자|r
I00Y	|cFF949596记忆拼图I|r	|cFF949596기억 퍼즐 I|r
I00Z	|cFF949596记忆拼图Ⅱ|r	|cFF949596기억 퍼즐 Ⅱ|r
I010	|cFF949596记忆拼图Ⅲ|r	|cFF949596기억 퍼즐 Ⅲ|r
I011	|cFFFF3333伊希斯血晶|r	|cFFFF3333이시스 혈정|r
I012	|cFF336699虚黑|r|cFF335980の|r|cFF334C66刻印|r	|cFF336699허흑의 각인|r
I013	测试用物品	테스트용 아이템
I015	|cFFFF9933锋芒模组|r	|cFFFF9933예리함 모듈|r
I016	|cFFFF6600日轮竹|r	|cFFFF6600일륜죽|r
I019	|cFF7DBEF1清酒|r	|cFF7DBEF1청주|r
I01A	『万宝槌.伪』	『만보추·위』
I01B	|cFF6600FF刷新球|r	|cFF6600FF리프레셔 오브|r
I01C	|cFF1FBF00幸运模组|r	|cFF1FBF00행운 모듈|r
I01D	|cFFFF0000命运匣|r	|cFFFF0000운명 상자|r
I01E	|cFF6633FF梦|r|cFF7052FF魇|r|cFF7A70FF模|r|cFF858FFF组|r	|cFF6633FF악몽 모듈|r
I01F	|cFFCC0099「平行交差」|r	|cFFCC0099「평행 교차」|r
I01G	|cFFFF0066沙漠之鹰-PW|r	|cFFFF0066데저트 이글-PW|r
I01I	|cFF7DBEF1贯彻弹|r	|cFF7DBEF1관철탄|r
I01J	|cFFFF3333烈焰模组|r	|cFFFF3333화염 모듈|r
